name, latitude, longitude
Leslie Street & Queensville Sideroad,44.13878187,-79.45057629
Bayview Avenue & Holland View Trail/Spring Farm Road,44.01555206,-79.44616256
Highway 27 & Toronto RV Road,43.76266088,-79.61840903
Keele Street & Great Gulf Drive/Snidecroft Road,43.78901375,-79.49660784
Markham Rd at Denison St,43.8444535,-79.25283005
Highway 27 at Medallion Road,43.78421245,-79.62431273
Woodbine Avenue & Old Homestead Road,44.25528039,-79.45401229
Bayview Ave and Bantry Ave,43.84798523,-79.40862675
Bayview Ave at Willowbrook Rd,43.82812864,-79.40346954
Leslie St and 19th Ave,43.91686514,-79.40028596
Bathurst St and King Vaughan Rd,43.92089172,-79.47663952
Bloomington Rd and Academy Dr,43.96114538,-79.46774001
Davis Dr and Warden Ave,44.07683655,-79.38308961
Woodbine Ave and Vivian Rd,44.05279256,-79.40335322
Wellington St and Dufferin St,43.98914435,-79.51787086
Warden Ave and Ravenshoe Rd,44.2042563,-79.41441882
Stouffville Rd and Bayview Ave,43.93105886,-79.42873249
High St and Dalton Rd,44.3044174,-79.3628375
Woodbine Ave and Riverglen Ave,44.22892992,-79.44747901
Kennedy Rd and Clayton Dr,43.82766006,-79.30789821
McCowan Rd and Elson St,43.83519668,-79.2762815
Davis Dr. at William Booth Ave,44.05261008,-79.49081952
Georgina Transfer Station - Warden Avenue N/O Ravenshoe Road,44.20980519,-79.41573754
Keele Street & Lloydtown/Aurora Road Roundabout,44.00133067,-79.54748914
Keele Street at Commercial Entrance (N/O Steeles Ave.),43.78328912,-79.49498116
Stouffville Road at Woodbine Avenue,43.94180047,-79.37881354
Weston Road at Colossus Drive/Rowntree Dairy Road,43.78627106,-79.54704948
Weston Rd at King-Vaughan Rd,43.89997959,-79.57336202
Woodbine Avenue at Aurora Road,44.01602291,-79.39505587
Yonge Street at 19th Avenue/Gamble Road,43.9076846,-79.44580715
Yonge Street at Weldrick Road,43.86006435,-79.43472224
Yonge Street at Bernard Avenue/Canyon Hill Avenue,43.89503302,-79.44265359
Yonge Street at Brookside Drive/Silverwood Avenue,43.89845814,-79.44361085
Yonge Street at Harding Boulevard,43.86641092,-79.43619735
Yonge Street at Bantry Avenue/Scott Drive,43.84624986,-79.43142011
Woodbine Avenue at 19th Avenue,43.92223215,-79.37658893
Highway 27 at Kirby Road,43.86539739,-79.64410397
Highway 27 at Sheardown Drive,43.90828873,-79.65414518
Woodbine Avenue at Apple Creek Blvd./Valleywood Dr.,43.85671427,-79.35966218
Mount Albert Road at Yonge Street/Queen Street,44.09542926,-79.49019941
King Road at 11th Concession,43.8909966,-79.70084354
McCowan Road and South Unionville Ave,43.86060398,-79.28303225
Highway 11 and Sherwood Glen Boulevard/ Dogwood Cresent,44.08957762,-79.50256076
Dufferin Street & Lloydtown-Aurora Rd/18th Sideroad,44.00728327,-79.52222474
Warden Avenue at Elgin Mills Road,43.9102191,-79.34783463
Leslie St at Wellington St,44.0107558,-79.4187903
McCowan Road at Bullock Drive,43.87277718,-79.2858888
Bloomington Road and York-Durham Line,44.01370655,-79.23819388
Yonge Street and Queensville Sideroad,44.12836848,-79.49653999
Jane Street and Lloydtown Road,44.00570002,-79.57320847
Woodbine Ave and Denison Street,43.82235407,-79.35066189
