OBJECTID,SEGMENTID,FULL_NAME,FROM_STREET,TO_STREET,LEGALSHIELD,LIFECYCLESTATUS,ROADNUMBER,ROADSECTION,MAINTBYSUMMER,MAINTBYWINTER,MAINTSECTION,MAINTCLASS,ROADTYPE,PREVSEGMENT,NEXTSEGMENT,NUMLANES,OWNEDBY,SHAPESTLength
1457,48-05,Donald Cousens Parkway,Box Grove Collector Road,Highway 7,48,Active,48,5,SE,SE,SE,3,Regional Road,48-02,48-06,4,York Region,883.123932761384
1458,67-38,McCowan Road,Queensville Sideroad,Holborn Road,67,Active,67,38,NO,NO,NO,3,Regional Road,67-36,67-40,2,York Region,2044.87756316287
1459,08-89,Woodbine Avenue - Davis Drive Interchange,Woodbine Avenue,Davis Drive,8,Active,8,89,NO,NO,NO,2,Channelized Right Turn Lane,Start,End,1,York Region,390.487119514188
1460,07-26E,Highway 7 Eastbound,Yonge Street,Bayview Avenue,7,Active,7,26,SE,SE,SE,1,Regional Road,07-24E,07-28E,3,York Region,1906.04719361067
1461,34-14,Bayview Avenue,19th Avenue,Stouffville Road,34,Active,34,14,SE,CE,SE,2,Regional Road,34-12,34-16,2,York Region,2246.87577815792
1462,72-08,Langstaff Road,Highway 427,Highway 27,72,Active,72,8,SW,SW,SW,2,Regional Road,72-07,72-12,2,York Region,953.683756701589
1463,53-06,Dufferin Street,Langstaff Road,Rutherford Road,53,Active,53,6,SW,SW,SW,2,Regional Road,53-05,53-08,5,York Region,2092.43499802866
1464,95-46,Steeles Avenue East,11th Concession,York/Durham Line,95,Active,95,46,,,SE,0,Regional Road,95-44,END,4,Toronto,616.728255655108
1465,32-52,Ravenshoe Road,Concession 5,Weirs Sideroad,32,Active,32,52,NO,NO,NO,3,Regional Road,32-48,32-54,2,York Region,2527.98437391196
1466,12-27,Leslie Street,Mulock Drive,Gorham Street,12,Active,12,27,CE,CE,CE,2,Regional Road,12-26,12-28,5,York Region,1057.00595100932
1467,07-19M,Highway 7 Rapidway,Keele Street,Centre Street / North Rivermede Road,7,Active,7,19,SW,SW,SW,1,Rapidway,07-18M,07-20,2,Metrolinx,1612.35780568232
